261D 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: light skin tone                             # E1.0   [1] (☝🏻)
1F385 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium-dark skin tone                             # E1.0   [1] (🎅🏾)
1F385 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: dark skin tone                                    # E1.0   [1] (🎅🏿)
1F3C2 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: light skin tone                                   # E1.0   [1] (🏂🏻)
1F3C2 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium-light skin tone                            # E1.0   [1] (🏂🏼)
1F3C2 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium skin tone                                  # E1.0   [1] (🏂🏽)
1F3C2 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium-dark skin tone                             # E1.0   [1] (🏂🏾)
1F3C2 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: dark skin tone                                    # E1.0   [1] (🏂🏿)
1F3C3 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person running: light skin tone                                # E1.0   [1] (🏃🏻)
1F3C3 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person running: medium-light skin tone                         # E1.0   [1] (🏃🏼)
1F3C3 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person running: medium skin tone                               # E1.0   [1] (🏃🏽)
1F3C3 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person running: medium-dark skin tone                          # E1.0   [1] (🏃🏾)
1F3C3 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person running: dark skin tone                                 # E1.0   [1] (🏃🏿)
1F3C4 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person surfing: light skin tone                                # E1.0   [1] (🏄🏻)
1F3C4 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium-light skin tone                         # E1.0   [1] (🏄🏼)
1F3C4 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium skin tone                               # E1.0   [1] (🏄🏽)
1F3C4 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium-dark skin tone                          # E1.0   [1] (🏄🏾)
1F3C4 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person surfing: dark skin tone                                 # E1.0   [1] (🏄🏿)
1F3C7 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; horse racing: light skin tone                                  # E1.0   [1] (🏇🏻)
1F3C7 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium-light skin tone                           # E1.0   [1] (🏇🏼)
1F3C7 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium skin tone                                 # E1.0   [1] (🏇🏽)
1F3C7 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium-dark skin tone                            # E1.0   [1] (🏇🏾)
1F3C7 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; horse racing: dark skin tone                                   # E1.0   [1] (🏇🏿)
1F3CA 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person swimming: light skin tone                               # E1.0   [1] (🏊🏻)
1F3CA 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium-light skin tone                        # E1.0   [1] (🏊🏼)
1F3CA 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium skin tone                              # E1.0   [1] (🏊🏽)
1F3CA 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium-dark skin tone                         # E1.0   [1] (🏊🏾)
1F3CA 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person swimming: dark skin tone                                # E1.0   [1] (🏊🏿)
1F3CB 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: light skin tone                        # E2.0   [1] (🏋🏻)
1F3CB 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium-light skin tone                 # E2.0   [1] (🏋🏼)
1F3CB 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium skin tone                       # E2.0   [1] (🏋🏽)
1F3CB 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium-dark skin tone                  # E2.0   [1] (🏋🏾)
1F3CB 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: dark skin tone                         # E2.0   [1] (🏋🏿)
1F3CC 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person golfing: light skin tone                                # E4.0   [1] (🏌🏻)
1F3CC 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium-light skin tone                         # E4.0   [1] (🏌🏼)
1F3CC 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium skin tone                               # E4.0   [1] (🏌🏽)
1F3CC 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium-dark skin tone                          # E4.0   [1] (🏌🏾)
1F3CC 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person golfing: dark skin tone                                 # E4.0   [1] (🏌🏿)
1F442 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; ear: light skin tone                                           # E1.0   [1] (👂🏻)
1F442 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; ear: medium-light skin tone                                    # E1.0   [1] (👂🏼)
1F442 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; ear: medium skin tone                                          # E1.0   [1] (👂🏽)
1F442 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; ear: medium-dark skin tone                                     # E1.0   [1] (👂🏾)
1F442 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; ear: dark skin tone                                            # E1.0   [1] (👂🏿)
1F443 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; nose: light skin tone                                          # E1.0   [1] (👃🏻)
1F443 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; nose: medium-light skin tone                                   # E1.0   [1] (👃🏼)
1F443 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; nose: medium skin tone                                         # E1.0   [1] (👃🏽)
1F443 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; nose: medium-dark skin tone                                    # E1.0   [1] (👃🏾)
1F443 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; nose: dark skin tone                                           # E1.0   [1] (👃🏿)
1F446 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: light skin tone                    # E1.0   [1] (👆🏻)
1F446 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium-light skin tone             # E1.0   [1] (👆🏼)
1F446 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium skin tone                   # E1.0   [1] (👆🏽)
1F446 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium-dark skin tone              # E1.0   [1] (👆🏾)
1F446 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: dark skin tone                     # E1.0   [1] (👆🏿)
1F447 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: light skin tone                  # E1.0   [1] (👇🏻)
1F447 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium-light skin tone           # E1.0   [1] (👇🏼)
1F447 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium skin tone                 # E1.0   [1] (👇🏽)
1F447 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium-dark skin tone            # E1.0   [1] (👇🏾)
1F447 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: dark skin tone                   # E1.0   [1] (👇🏿)
1F448 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: light skin tone                  # E1.0   [1] (👈🏻)
1F448 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium-light skin tone           # E1.0   [1] (👈🏼)
1F448 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium skin tone                 # E1.0   [1] (👈🏽)
1F448 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium-dark skin tone            # E1.0   [1] (👈🏾)
1F448 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: dark skin tone                   # E1.0   [1] (👈🏿)
1F449 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: light skin tone                 # E1.0   [1] (👉🏻)
1F449 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium-light skin tone          # E1.0   [1] (👉🏼)
1F449 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium skin tone                # E1.0   [1] (👉🏽)
1F449 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium-dark skin tone           # E1.0   [1] (👉🏾)
1F449 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: dark skin tone                  # E1.0   [1] (👉🏿)
1F44A 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: light skin tone                                 # E1.0   [1] (👊🏻)
1F44A 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium-light skin tone                          # E1.0   [1] (👊🏼)
1F44A 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium skin tone                                # E1.0   [1] (👊🏽)
1F44A 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium-dark skin tone                           # E1.0   [1] (👊🏾)
1F44A 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: dark skin tone                                  # E1.0   [1] (👊🏿)
1F44B 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; waving hand: light skin tone                                   # E1.0   [1] (👋🏻)
1F44B 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium-light skin tone                            # E1.0   [1] (👋🏼)
1F44B 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium skin tone                                  # E1.0   [1] (👋🏽)
1F44B 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium-dark skin tone                             # E1.0   [1] (👋🏾)
1F44B 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; waving hand: dark skin tone                                    # E1.0   [1] (👋🏿)
1F44C 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; OK hand: light skin tone                                       # E1.0   [1] (👌🏻)
1F44C 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium-light skin tone                                # E1.0   [1] (👌🏼)
1F44C 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium skin tone                                      # E1.0   [1] (👌🏽)
1F44C 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium-dark skin tone                                 # E1.0   [1] (👌🏾)
1F44C 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; OK hand: dark skin tone                                        # E1.0   [1] (👌🏿)
1F44D 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: light skin tone                                     # E1.0   [1] (👍🏻)
1F44D 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium-light skin tone                              # E1.0   [1] (👍🏼)
1F44D 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium skin tone                                    # E1.0   [1] (👍🏽)
1F44D 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium-dark skin tone                               # E1.0   [1] (👍🏾)
1F44D 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: dark skin tone                                      # E1.0   [1] (👍🏿)
1F44E 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: light skin tone                                   # E1.0   [1] (👎🏻)
1F44E 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium-light skin tone                            # E1.0   [1] (👎🏼)
1F44E 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium skin tone                                  # E1.0   [1] (👎🏽)
1F44E 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium-dark skin tone                             # E1.0   [1] (👎🏾)
1F44E 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: dark skin tone                                    # E1.0   [1] (👎🏿)
1F44F 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: light skin tone                                # E1.0   [1] (👏🏻)
1F44F 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium-light skin tone                         # E1.0   [1] (👏🏼)
1F44F 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium skin tone                               # E1.0   [1] (👏🏽)
1F44F 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium-dark skin tone                          # E1.0   [1] (👏🏾)
1F44F 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: dark skin tone                                 # E1.0   [1] (👏🏿)
1F450 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; open hands: light skin tone                                    # E1.0   [1] (👐🏻)
1F450 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium-light skin tone                             # E1.0   [1] (👐🏼)
1F450 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium skin tone                                   # E1.0   [1] (👐🏽)
1F450 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium-dark skin tone                              # E1.0   [1] (👐🏾)
1F450 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; open hands: dark skin tone                                     # E1.0   [1] (👐🏿)
1F466 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; boy: light skin tone                                           # E1.0   [1] (👦🏻)
1F466 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; boy: medium-light skin tone                                    # E1.0   [1] (👦🏼)
1F466 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; boy: medium skin tone                                          # E1.0   [1] (👦🏽)
1F466 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; boy: medium-dark skin tone                                     # E1.0   [1] (👦🏾)
1F466 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; boy: dark skin tone                                            # E1.0   [1] (👦🏿)
1F467 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; girl: light skin tone                                          # E1.0   [1] (👧🏻)
1F467 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; girl: medium-light skin tone                                   # E1.0   [1] (👧🏼)
1F467 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; girl: medium skin tone                                         # E1.0   [1] (👧🏽)
1F467 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; girl: medium-dark skin tone                                    # E1.0   [1] (👧🏾)
1F467 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; girl: dark skin tone                                           # E1.0   [1] (👧🏿)
1F468 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; man: light skin tone                                           # E1.0   [1] (👨🏻)
1F468 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; man: medium-light skin tone                                    # E1.0   [1] (👨🏼)
1F468 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; man: medium skin tone                                          # E1.0   [1] (👨🏽)
1F468 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; man: medium-dark skin tone                                     # E1.0   [1] (👨🏾)
1F468 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; man: dark skin tone                                            # E1.0   [1] (👨🏿)
1F469 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; woman: light skin tone                                         # E1.0   [1] (👩🏻)
1F469 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; woman: medium-light skin tone                                  # E1.0   [1] (👩🏼)
1F469 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; woman: medium skin tone                                        # E1.0   [1] (👩🏽)
1F469 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; woman: medium-dark skin tone                                   # E1.0   [1] (👩🏾)
1F469 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; woman: dark skin tone                                          # E1.0   [1] (👩🏿)
1F46B 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; woman and man holding hands: light skin tone                   # E12.0  [1] (👫🏻)
1F46B 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; woman and man holding hands: medium-light skin tone            # E12.0  [1] (👫🏼)
1F46B 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; woman and man holding hands: medium skin tone                  # E12.0  [1] (👫🏽)
1F46B 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; woman and man holding hands: medium-dark skin tone             # E12.0  [1] (👫🏾)
1F46B 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; woman and man holding hands: dark skin tone                    # E12.0  [1] (👫🏿)
1F46C 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; men holding hands: light skin tone                             # E12.0  [1] (👬🏻)
1F46C 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; men holding hands: medium-light skin tone                      # E12.0  [1] (👬🏼)
1F46C 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; men holding hands: medium skin tone                            # E12.0  [1] (👬🏽)
1F46C 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; men holding hands: medium-dark skin tone                       # E12.0  [1] (👬🏾)
1F46C 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; men holding hands: dark skin tone                              # E12.0  [1] (👬🏿)
1F46D 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; women holding hands: light skin tone                           # E12.0  [1] (👭🏻)
1F46D 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; women holding hands: medium-light skin tone                    # E12.0  [1] (👭🏼)
1F46D 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; women holding hands: medium skin tone                          # E12.0  [1] (👭🏽)
1F46D 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; women holding hands: medium-dark skin tone                     # E12.0  [1] (👭🏾)
1F46D 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; women holding hands: dark skin tone                            # E12.0  [1] (👭🏿)
1F46E 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; police officer: light skin tone                                # E1.0   [1] (👮🏻)
1F46E 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; police officer: medium-light skin tone                         # E1.0   [1] (👮🏼)
1F46E 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; police officer: medium skin tone                               # E1.0   [1] (👮🏽)
1F46E 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; police officer: medium-dark skin tone                          # E1.0   [1] (👮🏾)
1F46E 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; police officer: dark skin tone                                 # E1.0   [1] (👮🏿)
1F470 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person with veil: light skin tone                              # E1.0   [1] (👰🏻)
1F470 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person with veil: medium-light skin tone                       # E1.0   [1] (👰🏼)
1F470 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person with veil: medium skin tone                             # E1.0   [1] (👰🏽)
1F470 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person with veil: medium-dark skin tone                        # E1.0   [1] (👰🏾)
1F470 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person with veil: dark skin tone                               # E1.0   [1] (👰🏿)
1F471 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person: light skin tone, blond hair                            # E1.0   [1] (👱🏻)
1F471 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person: medium-light skin tone, blond hair                     # E1.0   [1] (👱🏼)
1F471 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person: medium skin tone, blond hair                           # E1.0   [1] (👱🏽)
1F471 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person: medium-dark skin tone, blond hair                      # E1.0   [1] (👱🏾)
1F471 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person: dark skin tone, blond hair                             # E1.0   [1] (👱🏿)
1F472 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person with skullcap: light skin tone                          # E1.0   [1] (👲🏻)
1F472 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person with skullcap: medium-light skin tone                   # E1.0   [1] (👲🏼)
1F472 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person with skullcap: medium skin tone                         # E1.0   [1] (👲🏽)
1F472 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person with skullcap: medium-dark skin tone                    # E1.0   [1] (👲🏾)
1F472 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person with skullcap: dark skin tone                           # E1.0   [1] (👲🏿)
1F473 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person wearing turban: light skin tone                         # E1.0   [1] (👳🏻)
1F473 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person wearing turban: medium-light skin tone                  # E1.0   [1] (👳🏼)
1F473 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person wearing turban: medium skin tone                        # E1.0   [1] (👳🏽)
1F473 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person wearing turban: medium-dark skin tone                   # E1.0   [1] (👳🏾)
1F473 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person wearing turban: dark skin tone                          # E1.0   [1] (👳🏿)
1F474 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; old man: light skin tone                                       # E1.0   [1] (👴🏻)
1F474 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; old man: medium-light skin tone                                # E1.0   [1] (👴🏼)
1F474 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; old man: medium skin tone                                      # E1.0   [1] (👴🏽)
1F474 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; old man: medium-dark skin tone                                 # E1.0   [1] (👴🏾)
1F474 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; old man: dark skin tone                                        # E1.0   [1] (👴🏿)
1F475 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; old woman: light skin tone                                     # E1.0   [1] (👵🏻)
1F475 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; old woman: medium-light skin tone                              # E1.0   [1] (👵🏼)
1F475 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; old woman: medium skin tone                                    # E1.0   [1] (👵🏽)
1F475 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; old woman: medium-dark skin tone                               # E1.0   [1] (👵🏾)
1F475 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; old woman: dark skin tone                                      # E1.0   [1] (👵🏿)
1F476 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; baby: light skin tone                                          # E1.0   [1] (👶🏻)
1F476 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; baby: medium-light skin tone                                   # E1.0   [1] (👶🏼)
1F476 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; baby: medium skin tone                                         # E1.0   [1] (👶🏽)
1F476 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; baby: medium-dark skin tone                                    # E1.0   [1] (👶🏾)
1F476 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; baby: dark skin tone                                           # E1.0   [1] (👶🏿)
1F477 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; construction worker: light skin tone                           # E1.0   [1] (👷🏻)
1F477 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; construction worker: medium-light skin tone                    # E1.0   [1] (👷🏼)
1F477 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; construction worker: medium skin tone                          # E1.0   [1] (👷🏽)
